I,Common Name,Constellation,RA [deg],Dec [deg],U App Mag,B App Mag,V App Mag,J App Mag,H App Mag,K App Mag,U-B,B-V,J-H,H-K,Prop M. RA [mas/yr],Prop M. Dec [mas/yr],Radial Velocity [km/s],RV Err [km/s],Dist [pc],Dist Err [pc],Spec Type,Mass [solar],Mass Err [solar],Rad [solar],Rad Err [solar],Lum [solar],Lum Err [solar],Temp [K],Temp Err [K],LaTeX
Mu2 Scorpii,Pipirima,Scorpius,253.0839388,-38.01753496,2.52,3.343,3.542,4.15,4.159,4.292,-0.823,-0.199,-0.009,-0.133,-11.09,-23.32,1.3,0.8,145.3488372,2.535154137,B2IV,8.7,0.2,7,,2385,,23113,,$\mu^2$
Zeta1 Scorpii,,Scorpius,253.4988625,-42.3620316,4.8,5.31,4.79,3.5,3.27,3.13,-0.51,0.52,0.23,0.14,0.009,-2.939,-26,0.8,1402.327864,475.8986722,B1Ia,36,,103,,850000,,17200,,$\zeta^1$
Zeta2 Scorpii,,Scorpius,253.6458514,-42.36131686,6.64,4.99,3.62,1.363,0.63,0.429,1.65,1.37,0.733,0.201,-127.72,-229.44,-18.7,0.06,40.56795132,0.444354842,K3III,1.19,0.14,21,1.6,,,4169,,$\zeta^2$
Eta Scorpii,,Scorpius,258.0383152,-43.23919181,3.83,3.74,3.33,2.58,2.38,2.34,0.09,0.41,0.2,0.04,24.47,-288.55,-27,2,22.52759631,0.081198815,F5IV,1.75,,3.307,0.05,17.94,0.45,6533,46,$\eta$
Theta Scorpii A,Sargas,Scorpius,264.3297077,-42.997828,2.5,2.29,1.85,1.074,0.865,0.841,0.21,0.44,0.209,0.024,5.54,-3.12,1.4,2,92.08103131,12.63358533,F1III,5.66,0.65,26,,1834,,7268,,$\theta$
Iota1 Scorpii,,Scorpius,266.8961714,-40.12699704,3.752,3.492,2.992,1.881,1.766,1.69,0.26,0.5,0.115,0.076,0.01,-6.24,-27.6,2,591.7159763,52.5191695,F2Ia,12.1,,262.5,194.4543648,18249,,7006.5,136.4716088,$\iota^1$
Iota2 Scorpii,,Scorpius,267.5462992,-40.09043208,5.26,5.039,4.803,4.03,3.818,3.829,0.221,0.236,0.212,-0.011,2.702,-2.051,-10.2,3.1,1129.688206,264.3000762,A2Ib,8.8,0.2,,,5798,,6372,,$\iota^2$
Kappa Scorpii A,,Scorpius,265.62198,-39.02998308,1.32,2.211,2.386,2.892,3.015,3.094,-0.891,-0.175,-0.123,-0.079,-6.05,-25.54,-14,2.8,148.1481481,3.731138546,B1.5III,17,,6.8,,6911,,23400,,$\kappa$
Upsilon Scorpii,Lesath,Scorpius,262.690988,-37.29581348,1.64,2.47,2.7,3.053,3.108,3.183,-0.83,-0.23,-0.055,-0.075,-2.37,-30.09,8,2.9,176.6784452,5.618749142,B2IV,11.4,0.5,6.1,,7381,,22831,169,$\upsilon$
Lambda Scorpii A,Shaula,Scorpius,263.4021672,-37.10382356,0.52,1.48,1.62,2.013,2.068,2.114,-0.96,-0.14,-0.055,-0.046,-8.53,-30.8,-3,2.8,175.1313485,23.00324192,B2IV,14.5,1.1,8.8,1.2,36300,,25000,1000,$\lambda$
G Scorpii,Fuyue,Scorpius,267.4645034,-37.04330487,5.57,4.38,3.21,1.27,0.64,0.52,1.19,1.17,0.63,0.12,40.59,27.24,24.7,0.6,38.58024691,0.223265318,K2III,1.2,0.2,20,1,93,4,4535,125,G
Alpha Sculptoris,,Sculptor,14.6514971,-29.35745131,3.52,4.09,4.27,4.63,4.808,4.669,-0.57,-0.18,-0.178,0.139,20.13,5.31,9.6,0.6,238.0952381,10.20408163,B7III,5.01,,7.52,,1549,,13600,,$\alpha$
Iota Sculptoris,,Sculptor,5.379991617,-28.98147102,7.009,6.169,5.167,3.639,3.116,3.045,0.84,1.002,0.523,0.071,33.263,-72.065,20.894,0.0004,103.0067675,1.365557728,K0III,2.94,,12.28,,97,,5020,,$\iota$
Delta Sculptoris A,,Sculptor,357.2314441,-28.13054847,4.55,4.58,4.57,4.801,4.643,4.532,-0.03,0.01,0.158,0.111,100.8,-105.34,8.7,2,42.14075011,0.39068542,A0V,2.27,,1.8,,29,,9750,,$\delta$
Gamma Sculptoris,,Sculptor,349.7060032,-32.53202471,6.558,5.528,4.406,2.557,2.019,1.886,1.03,1.122,0.538,0.133,20.13,-77.72,15.6,0.9,55.86592179,0.592990231,K1III,1.6,,12,,72.41,,4578,24,$\gamma$
Beta Sculptoris,,Sculptor,353.2427457,-37.81826583,3.92,4.28,4.37,4.63,4.669,4.611,-0.36,-0.09,-0.039,0.058,95.97,38.29,0.4,0.6,53.36179296,0.427122142,B9.5III,2.98,,2,,81,,12110,,$\beta$
Alpha Scuti,,Scutum,278.8017823,-8.244070248,6.7,5.17,3.83,1.68,0.99,0.84,1.53,1.34,0.69,0.15,-17,-313.52,36.5,0.18,61.05006105,0.81996419,K3III,1.33,,20,,186,,4315,,$\alpha$
Gamma Scuti,,Scutum,277.2993912,-14.56581441,4.779,4.739,4.675,4.803,4.622,4.36,,0.064,0.181,0.262,3.22,-4.02,-41,4.2,97.94319295,2.302288571,A1IV,2.91,,4.1,,150,,9016,,$\gamma$
Delta Scuti,,Scutum,280.568446,-9.052555675,5.2,5.04,4.71,4.224,3.978,3.95,0.16,0.33,0.246,0.028,7.175,1.996,-45.1,0.6,61.10825939,0.755059156,F2II,2.235,0.077781746,4.78,0.38,40,0.6,6653,370.5239533,$\delta$
Epsilon Scuti A,,Scutum,280.8802312,-8.275223642,6.878,5.998,4.889,2.902,2.344,2.243,0.88,1.109,0.558,0.101,17.526,7.085,-9.8,0.6,169.2620176,6.214104878,G8II,,,,,403,,4500,,$\epsilon$
Beta Scuti A,,Scutum,281.7935946,-4.747878859,6.15,5.31,4.22,2.35,1.714,1.69,0.84,1.09,0.636,0.024,3.188,-15.062,-21.3,0.03,217.9551448,18.36046805,G4II,,,,,1270,,4622,,$\beta$
Gamma Serpentis,,Serpens Caput,239.1132612,15.66161681,4.31,4.34,3.84,2.93,2.64,2.62,-0.03,0.5,0.29,0.02,310.93,-1282.19,6.523,0.0009,11.25365744,0.022796065,F6V,1.3,0.15,1.55,0.05,3.02,0.09,6350,310,$\gamma$
Kappa Serpentis,Gudja,Serpens Caput,237.1849032,18.14156506,7.66,5.71,4.09,1.05,0.22,0.04,1.95,1.62,0.83,0.18,-51.88,-88.1,-38.48,0.14,117.0960187,3.153639849,M0.5III,,,51.4,7.071067812,628,33.8,4043.5,276.4787514,$\kappa$
Iota Serpentis A,,Serpens Caput,235.3877279,19.67039944,,4.563,4.505,,,4.31,,0.058,,,-60.86,-43.69,-17.2,0.9,58.27505828,2.275308219,A1V,1.999,,,,,,,,$\iota$
Beta Serpentis,,Serpens Caput,236.5468931,15.42183219,3.81,3.73,3.67,3.47,3.539,3.42,0.08,0.06,-0.069,0.119,65.38,-38.61,0.6,0.3,47.55111745,0.58788828,A2IV,1.94,,,,,,8928,304,$\beta$
Delta Serpentis A,,Serpens Caput,233.7005754,10.53889454,,4.39,4.14,2.983,2.827,2.766,,0.25,0.156,0.061,-67.166,-3.571,-20.82,3.76,64.21452789,2.783778626,F0IV,1.58,,3,,24.5,,7649,260,$\delta$
Alpha Serpentis,Unukalhai,Serpens Caput,236.0669763,6.425628687,5.08,3.8,2.63,0.741,0.238,0.097,1.28,1.17,0.503,0.141,133.84,44.81,2.63,0.16,22.67573696,0.097695919,K2III,1.66,,13.48,,70,,4498,,$\alpha$
Epsilon Serpentis,,Serpens Caput,237.7040259,4.477730876,3.964,3.844,3.693,3.564,3.44,3.425,0.12,0.151,0.124,0.015,128.19,62.16,-9.4,0.6,21.59827214,0.088632218,A7V,1.82,0.026,1.783,0.04,12.134,0.296,7928,88,$\epsilon$
Omega Serpentis,,Serpens Caput,237.5731104,2.196510848,,6.236,5.217,3.461,2.955,2.838,,1.019,0.506,0.117,30.598,-48.052,-3.65,0.12,76.91124442,0.792063962,K0IV,1.2,0.24,10.48,0.52,69,,4797,16,$\omega$
Mu Serpentis A,,Serpens Caput,237.405029,-3.430204389,3.39,3.49,3.53,3.57,3.759,3.59,-0.1,-0.04,-0.189,0.169,-100.28,-25.99,-9.4,2,52.00208008,1.027602207,B9.5III,2.4,0.4,,,92,,9487,,$\mu$
Xi Serpentis Aa,,Serpens Cauda,264.396666,-15.39855387,3.908,3.788,3.519,3.065,2.913,2.911,0.12,0.269,0.152,0.002,-42.1,-59.94,-42.8,0.7,32.27888961,0.197966076,A9III,2.06,,,,30.6,,7217,41,$\xi$
Eta Serpentis,,Serpens Cauda,275.3275023,-2.898826832,4.84,4.19,3.25,1.61,1.09,1.02,0.65,0.94,0.52,0.07,-547.75,-701.42,9.38,0.0004,18.54255516,0.061888743,K0III,2,,5.897,0.028,19,1,4890,,$\eta$
Theta1 Serpentis,Alya,Serpens Cauda,284.0549496,4.20360495,,4.74,4.57,4.16,4.163,4.085,,0.17,-0.003,0.078,45.845,31.587,-48.7,0.8,40.08160615,0.459469053,A5V,,,,,,,,,$\theta^1$
Theta2 Serpentis,,Serpens Cauda,284.0610036,4.202127079,,5.18,4.98,4.436,4.376,4.455,,0.2,0.06,-0.079,50.214,28.506,-55,0.9,40.31867884,0.35763109,A5V,,,,,,,,,$\theta^2$
Theta Serpentis C,,Serpens Cauda,284.1548843,4.265128562,,7.28,6.71,5.703,5.418,5.346,,0.57,0.285,0.072,-2.236,-84.711,10.322,0.0017,26.62102049,0.037701709,G0V,1.097,,0.987,,1.1817,,6067,,
Gamma Sextantis A,,Sextans,148.126822,-8.10503525,5.52,5.46,5.43,4.997,5.002,4.935,0.06,0.03,-0.005,0.067,-57.28,-49.26,12.2,2.4,85.10638298,4.563150747,A0V,2.6,,,,57,,9825,334,$\gamma$
Alpha Sextantis ,,Sextans,151.9845089,-0.371673199,4.38,4.45,4.49,4.654,4.596,4.454,-0.07,-0.04,0.058,0.142,-11.557,-8.726,10,0.4,69.27174613,3.51303662,A0III,2.96,0.12,4.5,,120,,9984,,$\alpha$
Beta Sextantis,,Sextans,157.5728325,-0.637028829,4.43,4.96,5.1,5.351,5.411,5.386,-0.53,-0.14,-0.06,0.025,-38.805,-24.29,11.6,2,111.5909522,3.048381942,B5IV,,,3.2,,184,,14570,,$\beta$
Delta Sextantis,,Sextans,157.3695926,-2.739079515,5.01,5.13,5.18,5.223,5.257,5.239,-0.12,-0.05,-0.034,0.018,-48.86,-13.43,19,4.2,98.71668312,2.241346211,B9V,2.58,,2.3,,82,,10899,371,$\delta$
Zeta Tauri A,Tianguan,Taurus,84.41118926,21.14254411,2.22,2.84,3.03,3.21,3.07,2.97,-0.62,-0.19,0.14,0.1,1.78,-20.07,20,2.5,136.425648,15.2618051,B1IV,11.2,,5.5,,4169,,15500,,$\zeta$
Alpha Tauri,Aldebaran,Taurus,68.98016279,16.50930236,4.32,2.4,0.86,-2.095,-2.775,-3.044,1.92,1.54,0.68,0.269,63.45,-188.94,54.398,0.0008,20.43318349,0.32148654,K5III,1.16,0.07,45.1,0.1,439,17,3900,50,$\alpha$
Theta2 Tauri Aa,Chamukuy,Taurus,67.16560238,15.87086739,3.69,3.6,3.41,3.07,2.997,2.92,0.09,0.19,0.073,0.077,103.33,-18.625,38.9,0.2,47.99523887,0.859451876,A7III,2.86,,4.4,,59,,7800,,$\theta^2$
Theta1 Tauri,,Taurus,67.14373348,15.9621804,5.51,4.78,3.84,2.29,1.754,1.73,0.73,0.94,0.536,0.024,104.97,-15.14,42.193,0.0004,47.32607667,0.604734534,G9III,2.67,,10.55,,71,,5080,,$\theta^1$
Gamma Tauri A,Prima Hyadum,Taurus,64.94834937,15.62764317,5.46,4.64,3.65,2.02,1.496,1.49,0.82,0.99,0.524,0.006,115.46,-23.42,38.458,0.0007,49.52947003,0.785013889,G9.5III,2.7,0.13,13.4,0.2,85,,4844,47,$\gamma$
Lambda Tauri A,,Taurus,60.17006549,12.49034054,2.66,3.29,3.41,3.64,3.65,3.65,-0.63,-0.12,-0.01,0,-8.02,-14.42,17.8,0.9,148.3679525,3.742218387,B4IV,7.18,,6.4,,5801,,18700,,$\lambda$
Xi Tauri Aa,,Taurus,51.79224371,9.732739485,3.33,3.66,3.75,3.84,3.738,3.87,-0.33,-0.09,0.102,-0.132,72.172,-42.779,-2,5,60.79249091,3.387133751,B9V,2.29,0.91,2,0.2,,,9400,500,$\xi$
Nu Tauri,,Taurus,60.78908193,5.989299768,3.984,3.924,3.883,3.752,3.842,3.783,0.06,0.041,-0.09,0.059,4.72,-3.78,-5.7,0.9,35.85514521,0.244262373,A0.5V,2.25,0.01,2.795,0.332340187,28.1,0.4,7966.5,471.6402231,$\nu$
Omicron Tauri A,,Taurus,51.20329775,9.028887259,5.09,4.49,3.6,2.08,1.278,1.54,0.6,0.89,0.802,-0.262,-59.776,-78.579,-19.79,0.06,58.45696982,1.289999539,G6III,3.01,,15.51,5.713422792,149.4,3.7,5180,,$o$
10 Tauri,,Taurus,54.21727001,0.399593588,5.23,5.15,4.3,3.26,3.01,2.91,0.08,0.85,0.25,0.1,-232.6,-481.92,28.08,0.0007,13.96258028,0.10527497,F9IV,1.139,0.016,1.622,0.024,3.042,0.042,5997,44,10
Delta1 Tauri Aa,Secunda Hyadum,Taurus,65.73375432,17.54251555,5.56,4.74,3.76,2.15,1.579,1.59,0.82,0.98,0.571,-0.011,100.78,-28.08,37.91,0.04,52.4570901,1.017870957,G9.5III,2.8,0.5,11.4,,69,,5000,,$\delta^1$
Delta2 Tauri,,Taurus,66.02400512,17.44413253,5.07,4.95,4.8,4.5,4.513,4.414,0.12,0.15,-0.013,0.099,110.766,-33.168,38.8,1,46.14738552,0.444017678,A2V,1.79,,1.8,,27,,7997,,$\delta^2$
Delta3 Tauri,,Taurus,66.37243083,17.92790497,,4.369,4.298,4.34,4.381,4.098,,0.071,-0.041,0.283,107.6,-34.54,39.418,0.0011,45.53734062,1.057561189,A2IV,2.27,0.23,,,1.47,0.05,9025,,$\delta^3$
Epsilon Tauri,Ain,Taurus,67.15416174,19.18042906,5.42,4.54,3.53,1.9,1.314,1.31,0.88,1.01,0.586,0.004,106.19,-37.84,38.42,0.0004,44.96402878,0.505440971,G9.5III,2.7,0.1,12.692,0.545,97,8,4901,20,$\epsilon$
Beta Tauri,Elnath,Taurus,81.57297133,28.60745172,1.03,1.52,1.65,1.95,1.98,2.03,-0.49,-0.13,-0.03,-0.05,22.76,-173.58,9.2,2,41.05090312,0.57296006,B7III,5,0.1,4.2,,700,,13824,475,$\beta$
Zeta Telescopii,,Telescopium,277.2077492,-49.07058673,5.97,5.15,4.13,2.334,1.829,1.708,0.82,1.02,0.505,0.121,139.1,-228.66,-30.6,0.7,38.6996904,0.314509868,K1III,1.53,,9,,,,4801,39,$\zeta$
Alpha Telescopii,,Telescopium,276.7434002,-45.96845827,2.7,3.299,3.463,3.914,3.95,4.108,-0.599,-0.164,-0.036,-0.158,-16.96,-53.09,-0.2,2,85.17887564,1.233424945,B3IV,5.2,0.4,3.3,0.5,794,,16700,800,$\alpha$
Epsilon Telescopii,,Telescopium,272.8073598,-45.95442644,6.298,5.518,4.508,2.719,2.269,2.188,0.78,1.01,0.45,0.081,-22.346,-34.7,-26.3,0.8,119.776258,3.781698379,K0III,,,,,293,,4996,42,$\epsilon$
Alpha Trianguli A,Mothallah,Triangulum,28.27044623,29.5788278,3.96,3.9,3.42,2.51,2.182,2.24,0.06,0.48,0.328,-0.058,10.82,-234.24,-12.6,0.9,19.41747573,0.086718824,F5III,1.7,,3.22,,,,6288,,$\alpha$
Beta Trianguli A,,Triangulum,32.38594633,34.98729706,3.26,3.14,3,2.78,2.53,2.66,0.12,0.14,0.25,-0.13,149.16,-39.1,12.3,0.66,38.89537145,0.514368973,A5III,3.5,,,,74,,8186,,$\beta$
Gamma Trianguli,,Triangulum,34.32861264,33.84719307,4.05,4.03,4,3.802,3.862,3.958,0.02,0.03,-0.06,-0.096,44.64,-52.57,9.9,3.1,34.43526171,0.296446812,A1V,2.7,,1.96,,33,,9440,,$\gamma$
Delta Trianguli A,,Triangulum,34.26348078,34.22423429,5.5,5.48,4.87,3.52,3.287,3.08,0.02,0.61,0.233,0.207,1147.807,-247.059,-6.57,0.11,11.00776047,0.044409095,G0.5V,1,,0.98,,,,6215,,$\delta$
Alpha Trianguli Australis,Atria,Triangulum Australe,252.1662295,-69.02771183,4.92,3.36,1.92,-0.35,-1.02,-1.18,1.56,1.44,0.67,0.16,17.99,-31.58,-3,0.1,119.760479,2.151385851,K2III,7,,,,5500,,4150,,$\alpha$
Epsilon Trianguli Australis,,Triangulum Australe,234.1800926,-66.31703706,6.43,5.27,4.104,2.195,1.67,1.513,1.16,1.166,0.525,0.157,24.35,-54.47,-15.5,2,61.84291899,0.688418393,K1III,1.5,0.5,16.2,0.2,91,,4436,,$\epsilon$
Beta Trianguli Australis,,Triangulum Australe,238.7856753,-63.43072654,3.19,3.14,2.85,2.28,2.13,2.09,0.05,0.29,0.15,0.04,-188.66,-401.85,0.4,0.6,12.37776953,0.024513469,F1V,1.56,,1.976,0.021,9.3,0.17,7171,35,$\beta$
Gamma Trianguli Australis,,Triangulum Australe,229.7274249,-68.67954593,2.87,2.89,2.89,2.84,2.76,2.74,-0.02,0,0.08,0.02,-66.58,-32.31,-3.6,2.4,56.36978579,0.38130633,A1V,1.99,,5.86,,249,,9306,316,$\gamma$
Alpha Tucanae,,Tucana,334.6253949,-60.25959064,5.75,4.18,2.82,0.55,-0.08,-0.09,1.57,1.36,0.63,0.01,-70.72,-39.44,42.2,0.9,61.23698714,2.21248147,K3III,2.75,0.25,18.5,,424,,4300,,$\alpha$
Delta Tucanae A ,,Tucana,336.8331999,-64.9663693,4.41,4.48,4.49,4.384,4.41,4.547,-0.07,-0.01,-0.026,-0.137,68.655,11.004,4.1,2.7,80.43175768,1.595968327,B9V,2.99,,2.7,,,,11271,383,$\delta$
Epsilon Tucanae,,Tucana,359.9790734,-65.57713344,4.12,4.38,4.47,4.63,4.65,4.601,-0.26,-0.09,-0.02,0.049,47.93,-22.95,8.88,2.8,114.416476,2.356403395,B8V,4,0.2,,,389,,13000,500,$\epsilon$
Zeta Tucanae,,Tucana,5.01774988,-64.87479299,4.82,4.8,4.23,3.19,2.88,2.83,0.02,0.57,0.31,0.05,1707.42,1164.3,9.28,0.0003,8.586639189,0.01179686,F9.5V,0.99,0.2,1.08,0.08,1.26,,5970,,$\zeta$
Beta1 Tucanae A,,Tucana,7.886116975,-62.95821875,,4.249,4.289,4.664,4.677,4.4831,,-0.04,-0.013,0.1939,86.34,-54.82,14,5,41.40786749,0.342922298,B9.5V,3.84,,,,,,,,$\beta^1$
Beta2 Tucanae C,,Tucana,7.889259603,-62.96559275,,4.649,4.514,4.32,4.203,4.108,,0.135,0.117,0.095,105.607,-48.057,9.8,0.9,51.04045977,2.520201344,A3IV,2.76,,,,,,,,$\beta^2$
Beta3 Tucanae,,Tucana,8.182939961,-63.03149944,5.15,5.13,5.09,5.061,5.156,4.985,0.02,0.04,-0.095,0.171,86.419,-50.355,7.7,0.8,45.90188014,0.280228686,A0V,,,,,,,,,$\beta^3$
Gamma Tucanae,,Tucana,349.3572949,-58.23575201,4.35,4.37,3.98,3.21,3,2.96,-0.02,0.39,0.21,0.04,-7.776,86.245,18.4,0.7,23.62842878,0.140859758,F4V,1.55,,2.2,,11.33,,6679,,$\gamma$
Eta Ursae Majoris,Alkaid,Ursa Major,206.8851573,49.31326672,0.99,1.67,1.86,2.24,2.408,2.35,-0.68,-0.19,-0.168,0.058,-121.17,-14.91,-13.4,0.6,31.86743149,0.243727965,B3V,6.1,0.1,3.4,,594,31,15540,1157,$\eta$
Zeta1 Ursae Majoris Aa,Mizar,Ursa Major,200.9814286,54.92536183,2.11,2.271,2.22,2.1,,2.11,-0.161,0.051,,,121.2,-22,-5.6,0.9,25.38071066,0.2,A1.5V,2.2224,0.0221,2.4,0.1,33.3,2.1,9000,200,$\zeta^1$
Zeta2 Ursae Majoris,,Ursa Major,200.9846792,54.92180723,4.14,4.05,3.88,,,2.821,0.09,0.17,,,114.006,-26.452,-9.3,0.9,24.6887977,0.212118783,A7IV,,,,,,,8425,,$\zeta^2$
Epsilon Ursae Majoris,Alioth,Ursa Major,193.50729,55.95982296,1.76,1.75,1.77,1.72,1.73,1.76,0.01,-0.02,-0.01,-0.03,111.91,-8.24,-12.7,0.2,25.31004809,0.128119707,A1III,2.91,,4.14,,102,,9020,,$\epsilon$
Delta Ursae Majoris,Megrez,Ursa Major,183.8565026,57.03261545,3.46,3.41,3.32,3.11,3.31,3.09,0.05,0.09,-0.2,0.22,104.11,7.3,-153,0.5,24.6852629,0.091404331,A2V,1.63,,1.4,,14,,9480,570,$\delta$
Gamma Ursae Majoris A,Phecda,Ursa Major,178.4576972,53.69475973,2.44,2.45,2.44,2.4,2.487,2.33,-0.01,0.01,-0.087,0.157,107.68,11.01,-11.9,0.7,25.50369804,0.260175445,A0V,2.94,,3.04,0.08,65.255,,9355,,$\gamma$
Chi Ursae Majoris,Taiyangshou,Ursa Major,176.5125586,47.77940629,6.06,4.9,3.72,1.66,1.02,0.93,1.16,1.18,0.64,0.09,-138.29,28.57,-9.02,0.2,56.30630631,0.507264021,K0.5III,1.49,,20.8,0.8,158,,4416,9,$\chi$
Nu Ursae Majoris,Alula Borealis,Ursa Major,169.619736,33.09430853,6.44,4.89,3.49,1.18,0.183,0.31,1.55,1.4,0.997,-0.127,-26.84,28.69,-9.63,0.38,122.3990208,2.54685845,K3III,,,57.07,4.13,775,122,4070,,$\nu$
Xi Ursae Majoris Aa,Alula Australis,Ursa Major,169.5454215,31.52916086,,4.79,4.25,2.46,2.23,2.14,,0.54,0.23,0.09,-453.7,-591.4,-15.5,0.9,8.833922261,0.35897564,F8.5V,0.97,,1.02,0.04,1.21,,6005,80,$\xi$
Xi Ursae Majoris Ba,,Ursa Major,169.54515,31.52911714,,5.41,4.77,2.46,2.23,2.14,,0.64,0.23,0.09,-339.398,-607.892,-15.9,0.9,8.734639045,0.032928456,G2V,0.86,,0.92,0.04,0.79,,5692,90,
Psi Ursae Majoris,,Ursa Major,167.4158695,44.49848668,5.27,4.15,3.01,1.16,0.376,0.44,1.12,1.14,0.784,-0.064,-62.02,-27.41,-3.39,0.14,44.30660168,0.274830493,K1III,,,19.7,0.6,148,12,4520,,$\psi$
Mu Ursae Majoris A,Tania Australis,Ursa Major,155.582249,41.4995192,6.53,4.64,3.05,0.1,-0.68,-0.86,1.89,1.59,0.78,0.18,-81.47,35.34,-21.3,1.66,70.62146893,2.693191612,M0III,,,75,,1088.5,157.6848122,3899,,$\mu$
Lambda Ursae Majoris,Tania Borealis,Ursa Major,154.2740569,42.91437949,3.54,3.48,3.45,3.4,3.459,3.38,0.06,0.03,-0.059,0.079,-148.409,-41.928,18.1,0.1,31.46880655,0.72944451,A1IV,2.11,,2.3,,37,,9247,314,$\lambda$
Beta Ursae Majoris,Merak,Ursa Major,165.4603189,56.38242609,2.35,2.35,2.37,2.35,2.359,2.35,0,-0.02,-0.009,0.009,81.43,33.49,-13.1,0.1,24.44987775,0.095647444,A1IV,2.7,,3.021,0.038,63.015,1.307,9377,75,$\beta$
Alpha Ursae Majoris A,Dubhe,Ursa Major,165.9319647,61.75103469,3.78,2.86,1.79,-0.01,-0.61,-0.64,0.92,1.07,0.6,0.03,-134.11,-34.7,-9.4,0.3,37.67897513,0.68145848,G9III,3.44,0.11,17.03,0.13,165.1,8.3,5012,65,$\alpha$
Upsilon Ursae Majoris A,,Ursa Major,147.7473208,59.03873571,4.19,4.1,3.81,3.14,3.02,2.98,0.09,0.29,0.12,0.04,-295.2,-151.73,27.3,4.1,35.63791875,0.254012251,F2IV,1.57,,2.79,0.4,29.5,,7211,245,$\upsilon$
Theta Ursae Majoris,,Ursa Major,143.2143079,51.67730031,3.67,3.64,3.18,2.28,2.079,1.97,0.03,0.46,0.201,0.109,-947.46,-535.6,14.356,0.0006,13.47890551,0.025435325,F7V,1.41,,2.365,0.008,7.871,0.158,6300,33,$\theta$
Kappa Ursae Majoris A,Alkaphrah,Ursa Major,135.9063651,47.15652472,,3.55,3.55,3.449,3.561,3.378,,0,-0.112,0.183,-36.19,-55.4,2.3,1.2,109.8901099,6.037918126,A1V,3.79,0.12,7.87,,,,9060,,$\kappa$
Iota Ursae Majoris A,Talitha,Ursa Major,134.8018901,48.04182614,3.4,3.33,3.14,2.78,2.763,2.66,0.07,0.19,0.017,0.103,-441.29,-215.32,9,2,14.50957632,0.033684449,F0IV,1.7,0.1,,,9.87,,7260,70,$\iota$
Omicron Ursae Majoris,Muscida,Ursa Major,127.5661277,60.71816986,4.79,4.27,3.42,1.87,1.405,1.339,0.52,0.85,0.465,0.066,-133.76,-107.45,19.8,0.2,54.91488193,0.482503081,G5III,3.09,,14,,138,,5242,,$o$
h Ursae Majoris,,Ursa Major,142.8821197,63.06186148,4.1,4,3.67,3.01,3.025,2.82,0.1,0.33,-0.015,0.205,107.99,27.15,-10.4,0.7,23.81519409,0.090746155,F0IV,1.862,,2.9,0.03,14.8,0.1,6651,27,h
Alpha Ursae Minoris Aa,Polaris,Ursa Minor,37.95456067,89.26410897,3,2.62,2.02,0.795,0.46,0.52,0.38,0.6,0.335,-0.06,44.48,-11.85,-16.42,0.03,132.6259947,1.934861992,F8Ib,5.4,,37.5,,1260,,6015,,$\alpha$
Alpha Ursae Minoris B,,Ursa Minor,37.65031999,89.2608901,,8.69,8.2,,,,,0.49,,,42.086,-13.635,-22.25,8.11,137.1403494,0.528033847,F3V,1.39,,1.38,,3.9,,6900,,
Delta Ursae Minoris,Yildun,Ursa Minor,263.054153,86.58646066,4.397,4.367,4.336,4.052,4.331,4.258,0.03,0.031,-0.279,0.073,10.17,53.97,-7.6,2,52.77044855,0.389860834,A1V,2.35,,2.8,,47.77,,9911,337,$\delta$
Epsilon Ursae Minoris A,,Ursa Minor,251.4926502,82.03726302,,5.109,4.212,2.797,2.422,2.192,,0.897,0.375,0.23,19.47,2.61,-10.57,0.4,97.61240068,2.296291565,G5III,,,,,,,5215,47,$\epsilon$
Zeta Ursae Minoris,,Ursa Minor,236.0146621,77.79449412,4.366,4.316,4.274,,,,0.05,0.042,,,19.91,-1.99,-13.1,4.1,113.1221719,1.535595094,A3V,3.4,,6.15,,227,,8720,,$\zeta$
Eta Ursae Minoris,,Ursa Minor,244.3761224,75.75534427,5.34,5.32,4.7,4.373,4.279,4.198,0.02,0.62,0.094,0.081,-90.3,257.66,-11,0.9,29.5240429,0.128222526,F5V,1.35,,,,,,6858,233,$\eta$
Gamma Ursae Minoris,Pherkad,Ursa Minor,230.1821502,71.83401654,3.147,3.067,3.002,2.9,2.767,2.705,0.08,0.065,0.133,0.062,-17.73,17.9,-3.9,0.6,149.2537313,2.450434395,A2III,,,15,,1100,,8280,,$\gamma$
Beta Ursae Minoris,Kochab,Ursa Minor,222.6763575,74.15550394,5.32,3.55,2.08,-0.45,-1.225,-1.39,1.77,1.47,0.775,0.165,-32.61,11.42,16.96,0.19,40.14452027,0.193389901,K4III,2.2,0.3,42.06,0.91,390,25,4030,,$\beta$
Gamma2 Velorum WR,,Vela,122.3831255,-47.33658633,0.64,1.58,1.83,2.11,2.16,1.95,-0.94,-0.25,-0.05,0.21,-6.07,10.43,15,3.1,342.4657534,35.18483768,WC8,9,0.6,6,3,170000,,57000,,$\gamma^2$
Gamma1 Velorum,,Vela,122.3721593,-47.34528741,3.075,3.995,4.173,4.794,4.935,4.866,-0.92,-0.178,-0.141,0.069,-6.706,10.775,20,10,281.1990327,26.11777754,B2III,14,,,,,,,,$\gamma^1$
